N,exp(-2N),Holevo_Cinf,Dolinar_C1,Kennedy_null,Kennedy_optML,p_null,beta_star,p_star,GG_alpha,GG_beta,GG_K,Kennedy_null_GG,p_null_GG,Kennedy_optML_GG,beta_star_GG,p_star_GG
0.40201084924623115,0.4475255273697763,0.8502729811784968,0.7015575984767235,0.6178785645805831,0.6397241394411508,0.5643835526477148,-0.72090339920281,0.4516613880302733,4.0,2.0,256.0,0.44091123526239684,0.544170277175177,0.4671647254708302,-0.7828817044734453,0.4760951689896428
0.4120610954773869,0.43861984799539,0.8563893844127306,0.7107905749372055,0.6279408863721481,0.6491467814166851,0.5630322680478789,-0.7267561842856406,0.45246994480695685,4.0,2.0,256.0,0.4477522062932199,0.5428396610811572,0.4730598916660096,-0.7880322920169849,0.47695016845501986
0.4221113417085427,0.4298913900760243,0.8622465811725756,0.7197531447144927,0.63778114254469,0.6583511096040592,0.5616999059637057,-0.7325491344127476,0.453273715511802,4.0,2.0,256.0,0.4544300389933279,0.5415277913652515,0.47879551044448476,-0.7930110086288641,0.47777982755103493
0.4321615879396985,0.42133662693585827,0.8678563761657694,0.728452639139517,0.6474025944779385,0.6673416075172519,0.5603865078155944,-0.7382853383945815,0.45407239119202125,4.0,2.0,256.0,0.4609476606901486,0.5402344752355501,0.4843773200197026,-0.7977985071832883,0.4785808008039906
0.44221183417085425,0.41295210207930017,0.8732299618414808,0.7368962120026339,0.6568085150930996,0.6761226552718826,0.5590921043607545,-0.7439676785785214,0.4548656852407246,4.0,2.0,256.0,0.4673079757748262,0.5389595162827976,0.4898108158635314,-0.8024494898988066,0.47936059771425205
0.45226208040201005,0.40473442779441315,0.8783779571720569,0.7450908431683863,0.6660021864660434,0.6846985344826042,0.5578167158350008,-0.7495988479354484,0.45565333142845715,4.0,2.0,256.0,0.47351386408336676,0.5377027149762367,0.49510033433836953,-0.8070539475972416,0.48013209961974684
0.4623123266331658,0.396680283784133,0.8833104433043287,0.7530433421342704,0.6749868974808788,0.6930734327549634,0.5565603521061816,-0.7551813638353925,0.4564350816808777,4.0,2.0,256.0,0.4795681794048625,0.5364638691250428,0.500250075307251,-0.8115611118294782,0.48088782930773494
0.4723625728643216,0.38878641582472356,0.8880369963986088,0.7607603515341769,0.6837659415267264,0.7012514478122465,0.5553230128387198,-0.7607175914076842,0.457210707583467,4.0,2.0,256.0,0.48547374811181,0.5352427743070118,0.5052642022944955,-0.8159763325583246,0.48162841250903854
0.48241281909547734,0.3810496344509296,0.8925667179345104,0.7682483505871568,0.6923426142403308,0.7092365912930244,0.5541046876687449,-0.7662097315079723,0.4579799916520824,4.0,2.0,256.0,0.49123336790747035,0.5340392242661707,0.5101469955056938,-0.8202846097656881,0.4823515002510121
0.49246306532663314,0.3734668136672938,0.8969082627292677,0.7755136584921422,0.7007202112969799,0.7170327922509935,0.5529053563892654,-0.7716598726872007,0.4587427376840687,4.0,2.0,256.0,0.49684980668520473,0.5328530112809697,0.5149025690688656,-0.8244856698518069,0.4830568917407263
0.502513311557789,0.36603488968511955,0.9010698648854275,0.7825624377692331,0.7089020262520169,0.7246439003851304,0.5517249891448324,-0.777069953657177,0.459498757560643,4.0,2.0,256.0,0.5023258014947213,0.5316839265046931,0.5195346875610084,-0.8286212149682743,0.48375028009749554
0.5125635577889448,0.358750859684567,0.9050593618599105,0.7894006975481382,0.7168913484350701,0.7320736890250756,0.5505635466351293,-0.7824418003348722,0.4602478746321354,4.0,2.0,256.0,0.5076640576102118,0.5305317602796877,0.5240470284745578,-0.8326621109634056,0.4844275520230094
0.5226138040201005,0.3516117806013836,0.9088842168248767,0.7960342968043438,0.7246914608989318,0.7393258578939637,0.5494209803269134,-0.7877771411079683,0.460989930485954,4.0,2.0,256.0,0.5128672476954178,0.5293963024269706,0.5284433853762305,-0.8366091672697171,0.4850886438884436
0.5326640502512563,0.34461476793777823,0.9125515394720942,0.8024689475435647,0.7323056384248581,0.7464040356685564,0.5482972326737374,-0.7930775920376817,0.4617247726533663,4.0,2.0,256.0,0.517938011060744,0.528277342512721,0.5327269705350397,-0.8405186509647574,0.48574118545675254
0.5427142964824121,0.33775699459695924,0.9160681053961666,0.8087102179350227,0.7397371455858728,0.7533117823544772,0.5471922373428643,-0.7983446767147611,0.4624522601749803,4.0,2.0,256.0,0.5228789530076412,0.5271746700931128,0.5369010282865188,-0.8443453699712737,0.4863790445261032
